Rank,,Float Value,Seed,Stickers,,,,,,
#1,"★ Karambit
Vanilla",0.00000000000000 FN,0,,,,,,,
#2,"M249
Gator Mesh",0.00000000089966 FN,153,,,,,,,
#3,"StatTrak™ PP-Bizon
Embargo",0.00000000185799 FN,603,,,,,,,
#4,"CZ75-Auto
Midnight Palm",0.00000000208616 FN,650,,,,,,,
#5,"Glock-18
High Beam",0.00000000227131 FN,192,,,,,,,
#6,"USP-S
Flashback",0.00000000309665 FN,992,,,,,,,
#7,"Nova
Candy Apple",0.00000000389200 FN,122,,,,,,,
#8,"Galil AR
Black Sand",0.00000000505243 FN,962,,,,,,,
#9,"Tec-9
Ice Cap",0.00000000658445 FN,264,,,,,,,
#10,"SG 553
Army Sheen",0.00000000758842 FN,597,,,,,,,
#11,"UMP-45
Facility Dark",0.00000000803499 FN,114,,,,,,,
#12,"Sawed-Off
Amber Fade",0.00000000854023 FN,602,,,,,,,
#13,"Glock-18
Off World",0.00000000854023 FN,118,,,,,,,
#14,"MAG-7
Popdog",0.00000000964850 FN,791,,,,,,,
#15,"P250
Metallic DDPAT",0.00000001070201 FN,48,,,,,,,
#16,"Desert Eagle
Meteorite",0.00000001124768 FN,211,,,,,,,
#17,"MP7
Cirrus",0.00000001161243 FN,193,,,,,,,
#18,"StatTrak™ M4A1-S
Night Terror",0.00000001223013 FN,212,,,,,,,
#19,"Dual Berettas
Melondrama",0.00000001320150 FN,708,,,,,,,
#20,"M249
Deep Relief",0.00000001597218 FN,57,,,,,,,
#21,"Dual Berettas
Cobalt Quartz",0.00000002004020 FN,384,,,,,,,
#22,"AUG
Sweeper",0.00000002008584 FN,24,,,,,,,
#23,"Souvenir MP5-SD
Lab Rats",0.00000002119737 FN,667,,,,,,,
#24,"CZ75-Auto
Hexane",0.00000002254359 FN,417,,,,,,,
#25,"SCAR-20
Torn",0.00000002385070 FN,279,,,,,,,
#26,"FAMAS
Mecha Industries",0.00000002830988 FN,268,,,,,,,
#27,"SG 553
Army Sheen",0.00000002883794 FN,204,,,,,,,
#28,"AWP
PAW",0.00000002956484 FN,403,,,,,,,
#29,"Tec-9
Cracked Opal",0.00000003015157 FN,661,,,,,,,
#30,"Negev
Army Sheen",0.00000003128266 FN,221,,,,,,,
#31,"M249
Aztec",0.00000003222143 FN,966,,,,,,,
#32,"AUG
Surveillance",0.00000003248547 FN,734,,,,,,,
#33,"SG 553
Anodized Navy",0.00000003316738 FN,360,,,,,,,
#34,"SG 553
Army Sheen",0.00000003370783 FN,495,,,,,,,
#35,"SSG 08
Acid Fade",0.00000003430336 FN,608,,,,,,,
#36,"Five-SeveN
Flame Test",0.00000003771391 FN,379,,,,,,,
#37,"SSG 08
Abyss",0.00000004442875 FN,275,,,,,,,
#38,"StatTrak™ P250
Cassette",0.00000004547183 FN,906,,,,,,,
#39,"★ Classic Knife
Fade",0.00000004669092 FN,141,,,,,,,
#40,"Negev
Army Sheen",0.00000004692888 FN,993,,,,,,,
#41,"P2000
Lifted Spirits",0.00000004775357 FN,122,,,,,,,
#42,"MAC-10
Fade",0.00000004918389 FN,313,,,,,,,
#43,"UMP-45
Carbon Fiber",0.00000004976671 FN,591,,,,,,,
#44,"StatTrak™ G3SG1
Hunter",0.00000005039387 FN,847,,,,,,,
#45,"SSG 08
Acid Fade",0.00000005375161 FN,236,,,,,,,
#46,"Desert Eagle
Urban Rubble",0.00000005399576 FN,687,,,,,,,
#47,"R8 Revolver
Bone Forged",0.00000005466398 FN,751,,,,,,,
#48,"Nova
Windblown",0.00000005471287 FN,131,,,,,,,
#49,"MAC-10
Silver",0.00000005510598 FN,508,,,,,,,
#50,"SG 553
Anodized Navy",0.00000005614124 FN,249,,,,,,,
#51,"Five-SeveN
Coolant",0.00000005688053 FN,688,,,,,,,
#52,"AUG
Chameleon",0.00000005860813 FN,760,,,,,,,
#53,"AWP
Atheris",0.00000006066170 FN,532,,,,,,,
#54,"P90
Teardown",0.00000006645732 FN,328,,,,,,,
#55,"Glock-18
Moonrise",0.00000006716465 FN,403,,,,,,,
#56,"Negev
Army Sheen",0.00000006812951 FN,415,,,,,,,
#57,"SG 553
Anodized Navy",0.00000006821751 FN,393,,,,,,,
#58,"P250
Metallic DDPAT",0.00000006856434 FN,676,,,,,,,
#59,"XM1014
Entombed",0.00000006899005 FN,555,,,,,,,
#60,"Glock-18
Wraiths",0.00000006946922 FN,691,,,,,,,
#61,"StatTrak™ MP5-SD
Acid Wash",0.00000006964393 FN,351,,,,,,,
#62,"M4A1-S
Decimator",0.00000006965502 FN,169,,,,,,,
#63,"P2000
Lifted Spirits",0.00000007389579 FN,986,,,,,,,
#64,"MAG-7
Metallic DDPAT",0.00000007480718 FN,109,,,,,,,
#65,"StatTrak™ UMP-45
Plastique",0.00000007593632 FN,459,,,,,,,
#66,"P2000
Wicked Sick",0.00000007738360 FN,40,,,,,,,
#67,"SSG 08
Acid Fade",0.00000007851175 FN,366,,,,,,,
#68,"MAC-10
Malachite",0.00000007976312 FN,219,,,,,,,
#69,"StatTrak™ PP-Bizon
Night Riot",0.00000008039549 FN,734,,,,,,,
#70,"SSG 08
Ghost Crusader",0.00000008048024 FN,12,,,,,,,
#71,"Nova
Caged Steel",0.00000008209702 FN,246,,,,,,,
#72,"FAMAS
Eye of Athena",0.00000008656922 FN,156,,,,,,,
#73,"Negev
Army Sheen",0.00000008772641 FN,716,,,,,,,
#74,"SSG 08
Acid Fade",0.00000008840505 FN,68,,,,,,,
#75,"AUG
Wings",0.00000009174422 FN,585,,,,,,,
#76,"MAG-7
Carbon Fiber",0.00000009502731 FN,699,,,,,,,
#77,"Desert Eagle
Bronze Deco",0.00000009521376 FN,241,,,,,,,
#78,"FAMAS
Crypsis",0.00000009560981 FN,452,,,,,,,
#79,"CZ75-Auto
Vendetta",0.00000009772368 FN,121,,,,,,,
#80,"Sawed-Off
Kiss♥Love",0.00000009824522 FN,550,,,,,,,
#81,"G3SG1
Green Apple",0.00000009848318 FN,304,,,,,,,
#82,"USP-S
Desert Tactical",0.00000010062475 FN,940,,,,,,,
#83,"Souvenir SSG 08
Prey",0.00000010074601 FN,459,,,,,,,
#84,"Tec-9
Jambiya",0.00000010078773 FN,146,,,,,,,
#85,"Dual Berettas
Stained",0.00000010140706 FN,672,,,,,,,
#86,"Dual Berettas
Dualing Dragons",0.00000010218937 FN,164,,,,,,,
#87,"USP-S
Torque",0.00000010244101 FN,156,,,,,,,
#88,"R8 Revolver
Junk Yard",0.00000010258053 FN,860,,,,,,,
#89,"G3SG1
Green Apple",0.00000010356820 FN,117,,,,,,,
#90,"MP9
Deadly Poison",0.00000010378659 FN,342,,,,,,,
#91,"Nova
Candy Apple",0.00000010386157 FN,284,,,,,,,
#92,"SG 553
Lush Ruins",0.00000010425271 FN,35,,,,,,,
#93,"Glock-18
Moonrise",0.00000010583200 FN,592,,,,,,,
#94,"PP-Bizon
Facility Sketch",0.00000010810560 FN,773,,,,,,,
#95,"USP-S
Night Ops",0.00000011529308 FN,5,,,,,,,
#96,"P250
Metallic DDPAT",0.00000011562556 FN,929,,,,,,,
#97,"MP9
Ruby Poison Dart",0.00000011656434 FN,227,,,,,,,
#98,"AUG
Ricochet",0.00000011760742 FN,972,,,,,,,
#99,"Glock-18
High Beam",0.00000011873916 FN,62,,,,,,,
#100,"Dual Berettas
Shred",0.00000011899276 FN,823,,,,,,,
#101,"MAG-7
Metallic DDPAT",0.00000011946670 FN,240,,,,,,,
#102,"SG 553
Anodized Navy",0.00000012345649 FN,914,,,,,,,
#103,"P250
Metallic DDPAT",0.00000012615286 FN,765,,,,,,,
#104,"PP-Bizon
Lumen",0.00000012903469 FN,576,,,,,,,
#105,"UMP-45
Arctic Wolf",0.00000013140217 FN,470,,,,,,,
#106,"Negev
Lionfish",0.00000013230834 FN,280,,,,,,,
#107,"Desert Eagle
Corinthian",0.00000013236571 FN,258,,,,,,,
#108,"Tec-9
Army Mesh",0.00000013621990 FN,524,,,,,,,
#109,"Negev
Army Sheen",0.00000013659150 FN,61,,,,,,,
#110,"M4A1-S
VariCamo",0.00000013727603 FN,165,,,,,,,
#111,"Glock-18
High Beam",0.00000014003626 FN,205,,,,,,,
#112,"Souvenir P250
Drought",0.00000014082771 FN,590,,,,,,,
#113,"UMP-45
Carbon Fiber",0.00000014132448 FN,177,,,,,,,
#114,"SG 553
Anodized Navy",0.00000014289692 FN,428,,,,,,,
#115,"Souvenir Nova
Army Sheen",0.00000014299667 FN,570,,,,,,,
#116,"MAG-7
Metallic DDPAT",0.00000014341846 FN,105,,,,,,,
#117,"Negev
Ultralight",0.00000014363947 FN,770,,,,,,,
#118,"Sawed-Off
Limelight",0.00000014485791 FN,793,,,,,,,
#119,"SCAR-20
Carbon Fiber",0.00000014865472 FN,769,,,,,,,
#120,"P2000
Lifted Spirits",0.00000014971477 FN,893,,,,,,,
#121,"MP7
Motherboard",0.00000015137717 FN,63,,,,,,,
#122,"Glock-18
Candy Apple",0.00000015160208 FN,836,,,,,,,
#123,"MAG-7
Metallic DDPAT",0.00000015232636 FN,816,,,,,,,
#124,"AUG
Tom Cat",0.00000015257672 FN,748,,,,,,,
#125,"G3SG1
Scavenger",0.00000015318626 FN,95,,,,,,,
#126,"P90
Grim",0.00000015802682 FN,118,,,,,,,
#127,"G3SG1
Digital Mesh",0.00000015857444 FN,176,,,,,,,
#128,"Five-SeveN
Coolant",0.00000015975442 FN,976,,,,,,,
#129,"SG 553
Anodized Navy",0.00000016157590 FN,323,,,,,,,
#130,"M249
O.S.I.P.R.",0.00000016220892 FN,192,,,,,,,
#131,"Sawed-Off
Origami",0.00000016255281 FN,195,,,,,,,
#132,"Desert Eagle
Urban Rubble",0.00000016449718 FN,799,,,,,,,
#133,"StatTrak™ Galil AR
Blue Titanium",0.00000016460213 FN,64,,,,,,,
#134,"Nova
Caged Steel",0.00000016659963 FN,299,,,,,,,
#135,"M4A1-S
Hot Rod",0.00000017155818 FN,105,,,,,,,
#136,"P2000
Amber Fade",0.00000017157383 FN,964,,,,,,,
#137,"Tec-9
Army Mesh",0.00000017173681 FN,860,,,,,,,
#138,"SSG 08
Acid Fade",0.00000017261985 FN,332,,,,,,,
#139,"UMP-45
Riot",0.00000017270493 FN,964,,,,,,,
#140,"UMP-45
Oscillator",0.00000017354265 FN,905,,,,,,,
#141,"UMP-45
Momentum",0.00000017564511 FN,836,,,,,,,
#142,"USP-S
Torque",0.00000017834213 FN,828,,,,,,,
#143,"Desert Eagle
Bronze Deco",0.00000017861203 FN,93,,,,,,,
#144,"Tec-9
Army Mesh",0.00000018053781 FN,38,,,,,,,
#145,"P2000
Lifted Spirits",0.00000018279999 FN,209,,,,,,,
#146,"SCAR-20
Bloodsport",0.00000018405821 FN,199,,,,,,,
#147,"MP7
Urban Hazard",0.00000018428312 FN,86,,,,,,,
#148,"UMP-45
Labyrinth",0.00000018478185 FN,855,,,,,,,
#149,"P250
Metallic DDPAT",0.00000018605439 FN,606,,,,,,,
#150,"MP9
Army Sheen",0.00000018740259 FN,132,,,,,,,
#151,"SSG 08
Spring Twilly",0.00000018853042 FN,6,,,,,,,
#152,"MAG-7
Metallic DDPAT",0.00000018950701 FN,568,,,,,,,
#153,"SCAR-20
Outbreak",0.00000019293743 FN,680,,,,,,,
#154,"PP-Bizon
Bamboo Print",0.00000019307436 FN,552,,,,,,,
#155,"SG 553
Anodized Navy",0.00000019384100 FN,756,,,,,,,
#156,"Nova
Exo",0.00000019388274 FN,142,,,,,,,
#157,"MAC-10
Candy Apple",0.00000019542129 FN,66,,,,,,,
#158,"MAC-10
Sienna Damask",0.00000019628183 FN,405,,,,,,,
#159,"Glock-18
Winterized",0.00000019792468 FN,266,,,,,,,
#160,"SG 553
Triarch",0.00000019886997 FN,224,,,,,,,
#161,"SG 553
Atlas",0.00000019950103 FN,968,,,,,,,
#162,"Dual Berettas
Shred",0.00000020093984 FN,130,,,,,,,
#163,"Negev
Army Sheen",0.00000020421251 FN,576,,,,,,,
#164,"R8 Revolver
Desert Brush",0.00000020496547 FN,253,,,,,,,
#165,"SCAR-20
Poultrygeist",0.00000020554926 FN,840,,,,,,,
#166,"MAG-7
Metallic DDPAT",0.00000020693689 FN,295,,,,,,,
#167,"UMP-45
Full Stop",0.00000020737109 FN,695,,,,,,,
#168,"StatTrak™ MAG-7
Heaven Guard",0.00000020792523 FN,566,,,,,,,
#169,"SG 553
Army Sheen",0.00000021139022 FN,22,,,,,,,
#170,"Sawed-Off
Rust Coat",0.00000021153690 FN,673,,,,,,,
#171,"FAMAS
Teardown",0.00000021241699 FN,631,,,,,,,
#172,"SG 553
Heavy Metal",0.00000021454878 FN,946,,,,,,,
#173,"P2000
Oceanic",0.00000021908620 FN,235,,,,,,,
#174,"P250
Metallic DDPAT",0.00000022131316 FN,833,,,,,,,
#175,"SSG 08
Acid Fade",0.00000022175385 FN,215,,,,,,,
#176,"Nova
Mandrel",0.00000022255117 FN,109,,,,,,,
#177,"StatTrak™ Nova
Windblown",0.00000022406689 FN,639,,,,,,,
#178,"Tec-9
Orange Murano",0.00000022843480 FN,976,,,,,,,
#179,"MAG-7
Heaven Guard",0.00000022890420 FN,137,,,,,,,
#180,"MAC-10
Silver",0.00000023015326 FN,970,,,,,,,
#181,"G3SG1
Digital Mesh",0.00000023242458 FN,710,,,,,,,
#182,"Dual Berettas
Flora Carnivora",0.00000023254194 FN,574,,,,,,,
#183,"StatTrak™ SG 553
Heavy Metal",0.00000023397617 FN,77,,,,,,,
#184,"SSG 08
Acid Fade",0.00000023457399 FN,625,,,,,,,
#185,"SG 553
Heavy Metal",0.00000023511704 FN,753,,,,,,,
#186,"Galil AR
VariCamo",0.00000023608190 FN,233,,,,,,,
#187,"StatTrak™ P2000
Urban Hazard",0.00000023661647 FN,279,,,,,,,
#188,"PP-Bizon
Jungle Slipstream",0.00000023777363 FN,267,,,,,,,
#189,"G3SG1
Murky",0.00000024126143 FN,875,,,,,,,
#190,"MAG-7
Metallic DDPAT",0.00000024527796 FN,438,,,,,,,
#191,"G3SG1
High Seas",0.00000024663331 FN,40,,,,,,,
#192,"SG 553
Damascus Steel",0.00000024707987 FN,677,,,,,,,
#193,"MAG-7
Petroglyph",0.00000024902653 FN,458,,,,,,,
#194,"StatTrak™ SCAR-20
Green Marine",0.00000024971368 FN,318,,,,,,,
#195,"Nova
Mandrel",0.00000025092623 FN,595,,,,,,,
#196,"Souvenir MAG-7
Navy Sheen",0.00000025437981 FN,289,,,,,,,
#197,"MP7
Cirrus",0.00000025469112 FN,712,,,,,,,
#198,"MAG-7
Heat",0.00000025532674 FN,697,,,,,,,
#199,"Negev
Army Sheen",0.00000025577660 FN,437,,,,,,,
#200,"P90
Ash Wood",0.00000025637306 FN,722,,,,,,,
